claim_id,doc_id,claim,gold_sentence_indices,ranked_sentence_indices,gold_sentence_count,first_gold_rank,reciprocal_rank,hit@1,coverage@1,hit@2,coverage@2,hit@3,coverage@3
3,14717500,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.","[2, 5, 7]","[7, 0, 2]",3,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666
5,13734012,1/2000 in UK have abnormal PrP positivity.,[4],"[7, 4, 3]",1,2,0.5,0.0,0.0,1.0,1.0,1.0,1.0
42,18174210,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,"[1, 9, 10]","[1, 7, 10]",3,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666
48,13734012,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",[4],"[7, 6, 2]",1,6,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
49,5953485,ADAR1 binds to Dicer to cleave pre-miRNA.,"[1, 2]","[3, 2, 1]",2,2,0.5,0.0,0.0,1.0,0.5,1.0,1.0
50,12580014,AIRE is expressed in some skin tumors.,[1],"[1, 0, 2]",1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,45638119,ALDH1 expression is associated with better breast cancer outcomes.,[4],"[4, 0, 2]",1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,45638119,ALDH1 expression is associated with poorer prognosis in breast cancer.,[4],"[4, 0, 2]",1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,49556906,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,"[5, 6, 7]","[3, 7, 5]",3,2,0.5,0.0,0.0,1.0,0.3333333333333333,1.0,0.6666666666666666
56,4709641,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,[1],"[1, 4, 2]",1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,4709641,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",[1],"[1, 4, 2]",1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,5956380,Activation of PPM1D suppresses p53 function.,"[5, 6]","[6, 5, 3]",2,1,1.0,1.0,0.5,1.0,1.0,1.0,1.0
70,4414547,Activation of PPM1D suppresses p53 function.,[5],"[5, 4, 2]",1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,4381486,All hematopoietic stem cells segregate their chromosomes randomly.,[5],"[5, 0, 1]",1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
113,6157837,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,"[2, 7]","[0, 2, 4]",2,2,0.5,0.0,0.0,1.0,0.5,1.0,0.5
115,33872649,Anthrax spores can be disposed of easily after they are dispersed.,[6],"[1, 0, 4]",1,4,0.25,0.0,0.0,0.0,0.0,0.0,0.0
118,6372244,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,"[0, 4]","[4, 0, 1]",2,1,1.0,1.0,0.5,1.0,1.0,1.0,1.0
124,4883040,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,"[8, 10]","[10, 2, 11]",2,1,1.0,1.0,0.5,1.0,0.5,1.0,0.5
129,27768226,Articles published in open access format are less likely to be cited than traditional journals.,"[2, 10, 11, 40]","[7, 12, 2]",4,3,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.25
