claim_id,rank,doc_id,is_gold_doc,gold_label,predicted_label,is_correct_gold_label,prob_noinfo,prob_supports,prob_refutes,claim
3,5,14717500,True,SUPPORTS,NOINFO,False,0.9968997240066528,0.002905947621911764,0.00019430647080298513,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants."
5,8,13734012,True,SUPPORTS,REFUTES,False,0.001034940010868013,0.0012804787838831544,0.9976845979690552,1/2000 in UK have abnormal PrP positivity.
51,1,45638119,True,REFUTES,SUPPORTS,False,0.0008453400805592537,0.998448371887207,0.0007063081138767302,ALDH1 expression is associated with better breast cancer outcomes.
54,1,49556906,True,REFUTES,SUPPORTS,False,0.0006131244590505958,0.9878969192504883,0.011489996686577797,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.
57,1,4709641,True,REFUTES,SUPPORTS,False,0.000908411224372685,0.9981414079666138,0.0009501491440460086,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration."
115,1,33872649,True,REFUTES,SUPPORTS,False,0.037426598370075226,0.9613202214241028,0.0012532365508377552,Anthrax spores can be disposed of easily after they are dispersed.
133,1,16280642,True,SUPPORTS,NOINFO,False,0.9861700534820557,0.013498371466994286,0.0003314699570182711,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src."
137,1,26016929,True,SUPPORTS,REFUTES,False,0.0008317955071106553,0.0012462364975363016,0.9979220032691956,Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.
146,1,10582939,True,SUPPORTS,REFUTES,False,0.0010739488061517477,0.030153566971421242,0.9687725305557251,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.
148,2,1084345,True,SUPPORTS,REFUTES,False,0.0013048500986769795,0.013301351107656956,0.985393762588501,Autophagy declines in aged organisms.
180,1,16966326,True,REFUTES,SUPPORTS,False,0.0006345099536702037,0.9986714124679565,0.0006941560423001647,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.
183,1,12827098,True,REFUTES,NOINFO,False,0.98834627866745,0.011333596892654896,0.000320099585223943,Bone marrow cells contribute to adult macrophage compartments.
208,1,13519661,True,SUPPORTS,REFUTES,False,0.0011664227349683642,0.0006924337358213961,0.9981411695480347,CHEK2 is not associated with breast cancer.
212,4,22038539,True,REFUTES,NOINFO,False,0.9988086223602295,0.0009944692719727755,0.00019697335665114224,CR is associated with higher methylation age.
219,1,21366394,True,REFUTES,SUPPORTS,False,0.0020832717418670654,0.9961137771606445,0.0018029215279966593,CX3CR1 on the Th2 cells suppresses airway inflammation.
239,6,14079881,True,SUPPORTS,NOINFO,False,0.9868388772010803,0.01228373870253563,0.0008773196605034173,Cellular aging closely links to an older appearance.
248,1,1568684,True,SUPPORTS,NOINFO,False,0.9108286499977112,0.08856956660747528,0.0006017514388076961,Chenodeosycholic acid treatment increases whole-body energy expenditure.
249,1,1568684,True,REFUTES,NOINFO,False,0.9972883462905884,0.00028504268266260624,0.0024265856482088566,Chenodeosycholic acid treatment reduces whole-body energy expenditure.
261,6,1122279,True,SUPPORTS,REFUTES,False,0.13554246723651886,0.009682973846793175,0.8547745943069458,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO."
261,8,10697096,True,SUPPORTS,NOINFO,False,0.9995997548103333,8.645650086691603e-05,0.0003137837047688663,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO."
274,1,11614737,True,REFUTES,SUPPORTS,False,0.0005154942627996206,0.9960298538208008,0.0034546279348433018,Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.
275,1,4961038,True,SUPPORTS,NOINFO,False,0.8101687431335449,0.18834176659584045,0.0014894612831994891,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.
275,6,14241418,True,SUPPORTS,NOINFO,False,0.9996265172958374,0.0002496887755114585,0.00012384653382468969,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.
279,1,14376683,True,SUPPORTS,REFUTES,False,0.0019664005376398563,0.08850769698619843,0.909525990486145,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.
298,2,39381118,True,SUPPORTS,REFUTES,False,0.0030608277302235365,0.022017331793904305,0.9749217629432678,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.
327,1,17997584,True,SUPPORTS,REFUTES,False,0.0006415527896024287,0.001366148702800274,0.9979922771453857,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.
338,1,23349986,True,REFUTES,SUPPORTS,False,0.0010651141637936234,0.9683388471603394,0.03059602528810501,Dexamethasone decreases risk of postoperative bleeding.
385,3,9955779,True,SUPPORTS,NOINFO,False,0.9191681742668152,0.07988578081130981,0.0009460714645683765,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.
431,4,28937856,True,SUPPORTS,NOINFO,False,0.9880555272102356,0.004795192740857601,0.007149395998567343,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).
475,7,18678095,True,SUPPORTS,NOINFO,False,0.9989134073257446,0.0009352281922474504,0.00015133584383875132,Glycolysis is one of the primary glycometabolic pathways in cells.
501,1,17930286,True,SUPPORTS,REFUTES,False,0.0009013244998641312,0.0009764695423655212,0.9981221556663513,Headaches are not correlated with cognitive impairment.
513,1,13230773,True,REFUTES,NOINFO,False,0.9949753284454346,0.0024044648744165897,0.002620236948132515,High cardiopulmonary fitness causes increased mortality rate.
521,1,34873974,True,SUPPORTS,NOINFO,False,0.9991855025291443,0.00044059817446395755,0.00037393081584014,High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).
525,1,13639330,True,SUPPORTS,NOINFO,False,0.8462620377540588,0.15291643142700195,0.000821460853330791,Histone demethylase recruitment and a transient decrease in histone methylation is necessary for ligand-dependent induction of transcription by nuclear receptors.
532,1,12991445,True,REFUTES,NOINFO,False,0.993436872959137,0.0003268150903750211,0.006236191838979721,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.
533,1,12991445,True,SUPPORTS,NOINFO,False,0.9984580278396606,0.0003729294694494456,0.0011690740939229727,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.
539,1,13282296,True,SUPPORTS,REFUTES,False,0.0012367810122668743,0.002592820907011628,0.9961703419685364,Hypoglycemia increases the risk of dementia.
578,1,8764879,True,REFUTES,SUPPORTS,False,0.32745110988616943,0.6705750226974487,0.0019738986156880856,"In mouse models, the loss of CSF1R facilitates MOZ-TIF2-induced leuekmogenesis."
